,base,system,calc,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-MC-ME,-16.031222562729017,-16.031222562729017,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-MC-ME,-11.902622547466372,-11.902622610216678,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
2,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-ME,-16.048644242188193,-16.048644242188193,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-MC-ME,-16.048644304994237,-16.048644304994237,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
4,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-MC-ME,-16.048369207685877,-16.048369207685877,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
5,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-MC-ME,-16.04864392846996,-16.04864399122026,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
6,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-MC-ME,-16.048644242180398,-16.048644242180398,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
7,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-MC-ME,-16.048640728266783,-16.048640728266783,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
8,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-16.04864417942006,,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
9,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-SE,-16.867564710579085,-16.867564773329377,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
