,base,system,calc,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-ME,-0.025547545399984113,-0.025548606899984123,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-ME,-0.0255753977000484,-0.025575397800048395,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
2,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-ME,-0.018967562900017623,-0.01900233090001762,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-ME,-0.025574964700084468,-0.025574967900084466,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
4,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-ME,-0.02557540279995204,-0.025575402799952036,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
5,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-ME,-0.025575408500018264,-0.025575408400018276,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
6,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-ME,-0.025575403099950322,-0.025575402999950314,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
7,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-ME,-0.025575402900032018,-0.02557540280003202,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
8,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-0.025575406299922165,,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
9,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-SE,-0.02688044810004442,-0.026880448100044425,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
10,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-SE,-0.026880446100038854,-0.02688044620003885,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
11,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-SE,-0.02683574610004709,-0.02683712340004709,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
