,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-nopp,-10.700727585581465,0.0227737248989826,-12.106001917242327,-12.106001917242327,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_Mulliken,-12.041409205707094,0.021380545638455425,-13.923706423444559,-13.923706423444559,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_ChelPG,-12.321961906502407,0.020766177094573596,-14.661854956688531,-14.661854956688531,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-ME,-12.033745637119457,0.027831020723355186,-15.099737405927351,-15.099737405927351,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
4,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-nopp,-27.209689956515565,-0.020834396195717506,-28.085203728218833,-28.085203728218833,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
5,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_Mulliken,-29.694598134269,-0.021109107381732484,-31.673189452374572,-31.673189452374572,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
6,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_ChelPG,-30.370823353675792,-0.021305256275298962,-33.102731584029186,-33.102731584029186,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
7,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-ME,-29.906808291065317,0.009746620632011265,-34.134449677550116,-34.134449677550116,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
8,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-nopp,-30.034519395923148,0.06777357802220092,-36.21179264881249,-36.21179264881249,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
9,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_Mulliken,-32.990258511128744,0.06292711253005685,-40.63945030279518,-40.63945030279518,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
10,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_ChelPG,-33.61705205628295,0.060965261277923254,-42.04514650476898,-42.04514650476898,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
11,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-ME,-32.83843522708866,0.05371523614306175,-42.919539493372724,-42.919539493372724,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
12,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-nopp,-24.808215707248344,0.08776803123904732,-29.557755229351713,-29.557755229351713,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
13,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_Mulliken,-28.535271218910925,0.07936591029184599,-36.36856260173065,-36.36856260173065,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
14,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_ChelPG,-29.058196514186676,0.07709314110433885,-37.48144425500143,-37.48144425500143,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
15,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-ME,-28.443482401821992,0.04769107646398756,-39.08366862349507,-39.08366862349507,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
