,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-MC-ME,-13.101326280082075,0.7769068513117308,-16.052863446949136,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-MC-ME,-10.614851039069254,0.29660202480723696,-11.902622547466372,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
2,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-ME,-13.075848089439395,0.7789890782366474,-16.04864449319387,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-MC-ME,-13.07584765023854,0.7789890988681014,-16.048644304994237,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
4,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-MC-ME,-13.077856726595797,0.7788601776132527,-16.049159924211377,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
5,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-MC-ME,-13.075855682249303,0.7789887102777082,-16.048648132734833,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
6,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-MC-ME,-13.075847524674396,0.778989099782791,-16.048644242180398,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
7,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-MC-ME,-13.0759735901279,0.7789821483994646,-16.048705047321796,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
8,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-13.075847461914057,0.7789890998622105,-16.04864417942006,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
9,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-SE,-14.164959238813475,0.8505462827001276,-16.867565463578284,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
10,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-MC-SE,-14.165038241433171,0.8504981416791028,-16.867672578332407,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
11,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-MC-SE,-14.164964949097929,0.8505426486509241,-16.867573558374197,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
12,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-MC-SE,-14.164958736854969,0.850546582364475,-16.867564773368862,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
13,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-MC-SE,-10.891219424370194,0.30813295104039745,-12.059829368073364,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
14,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-MC-SE,-14.164958736818159,0.8505466070770644,-16.867564710581814,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
15,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-MC-SE,-14.173211593567348,0.8431531977804142,-16.872776750543274,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
16,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-MC-SE,-14.165669195751025,0.849934163481755,-16.86857335894022,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
17,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-SE,-14.164958736800324,0.8505466096808856,-16.867564710563983,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
18,/home/ricardi/NEG_GS,7HQ_formate,FT2-MC-ME,-28.032137744745267,0.6126618803248479,-33.43419228542749,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
19,/home/ricardi/NEG_GS,7HQ_formate,FT0-MC-ME,-22.905603832851835,0.3279067028991802,-23.136212314857236,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
20,/home/ricardi/NEG_GS,7HQ_formate,FT10-MC-ME,-27.96437902959567,0.615612230137138,-33.60648465467697,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
21,/home/ricardi/NEG_GS,7HQ_formate,FT12-MC-ME,-27.96435556099591,0.6156127749918877,-33.60649845975542,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
22,/home/ricardi/NEG_GS,7HQ_formate,FT4-MC-ME,-27.977568013144545,0.6152272822656375,-33.5944116852021,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
23,/home/ricardi/NEG_GS,7HQ_formate,FT18-MC-ME,-27.96435242349559,0.6156128484790112,-33.60650027952872,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
24,/home/ricardi/NEG_GS,7HQ_formate,FT8-MC-ME,-27.96457675577677,0.6156076316512697,-33.60636900585985,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
25,/home/ricardi/NEG_GS,7HQ_formate,FT14-MC-ME,-27.964352799966015,0.6156128395284566,-33.60650009124647,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
26,/home/ricardi/NEG_GS,7HQ_formate,FT6-MC-ME,-27.966230414457108,0.6155689304405146,-33.605380563158626,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
27,/home/ricardi/NEG_GS,7HQ_formate,FT16-MC-ME,-27.964352423501147,0.6156128478518916,-33.60650027953428,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
28,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-27.964352360735248,0.6156128485517214,-33.60650021676838,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
29,/home/ricardi/NEG_GS,7HQ_formate,FT10-MC-SE,-33.2934471276246,0.7696107111484177,-38.36817991392933,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
30,/home/ricardi/NEG_GS,7HQ_formate,FT24-MC-SE,-33.29498325495254,0.7697056000852487,-38.369766366997794,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
31,/home/ricardi/NEG_GS,7HQ_formate,FT6-MC-SE,-33.263830052761065,0.7678296143526951,-38.33744563272454,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
32,/home/ricardi/NEG_GS,7HQ_formate,FT20-MC-SE,-33.29498256470448,0.7697055490788618,-38.36976561399942,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
33,/home/ricardi/NEG_GS,7HQ_formate,FT8-MC-SE,-33.28813255368193,0.7692829733206675,-38.36268342686688,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
34,/home/ricardi/NEG_GS,7HQ_formate,FT12-MC-SE,-33.294638253823855,0.769684282817418,-38.36941019631568,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
35,/home/ricardi/NEG_GS,7HQ_formate,FT22-MC-SE,-33.29498319221668,0.7697055916084793,-38.36976630426192,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
36,/home/ricardi/NEG_GS,7HQ_formate,FT16-MC-SE,-33.29496599863161,0.7697045265730427,-38.369748545924104,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
37,/home/ricardi/NEG_GS,7HQ_formate,FT0-MC-SE,-23.016798493969382,0.3259020355382107,-23.17143700752346,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
38,/home/ricardi/NEG_GS,7HQ_formate,FT14-MC-SE,-33.29490588382506,0.769700812630942,-38.36968648585838,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
39,/home/ricardi/NEG_GS,7HQ_formate,FT2-MC-SE,-32.50800199899937,0.7335525617011533,-37.457136169335485,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
40,/home/ricardi/NEG_GS,7HQ_formate,FT18-MC-SE,-33.29497948992733,0.7697053614952242,-38.36976247647197,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
41,/home/ricardi/NEG_GS,7HQ_formate,FT4-MC-SE,-33.151198911758,0.76135010273118,-38.21713278824637,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
42,/home/ricardi/NEG_GS,7HQ_formate,FT-SE,-33.294983254936945,0.769705603369262,-38.36976636698219,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
43,/home/ricardi/NEG_GS,Uracil_5H2O,FT10-MC-ME,-36.96661807826719,1.4276113803393213,-46.42403631979952,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
44,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-MC-ME,-36.96661732520118,1.4276113968281599,-46.42403619423657,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
45,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-MC-ME,-36.97209486165463,1.4275054039724597,-46.42510238460009,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
46,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-MC-ME,-36.966631883301396,1.4276110872314893,-46.42403945728269,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
47,/home/ricardi/NEG_GS,Uracil_5H2O,FT12-MC-ME,-36.966617325280296,1.4276113961920507,-46.42403619431569,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
48,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-MC-ME,-31.416571975057703,0.5871425875099123,-36.534763673883084,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
49,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-MC-ME,-36.966920534686295,1.4276058292200597,-46.424114820397946,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
50,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-MC-ME,-37.102245823702575,1.4260348255662283,-46.46593707963995,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
51,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-36.96661732520118,1.4276113968910258,-46.42403619423657,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
52,/home/ricardi/NEG_GS,Uracil_5H2O,FT12-MC-SE,-39.47457381366699,1.6129164479293598,-48.28772650481009,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
53,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-MC-SE,-39.477909556945654,1.6117716291794284,-48.2879860401319,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
54,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-MC-SE,-39.474573876392895,1.612916491494607,-48.287726567536,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
55,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-MC-SE,-31.84075578281197,0.6299706082151286,-36.690344069483814,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
56,/home/ricardi/NEG_GS,Uracil_5H2O,FT10-MC-SE,-39.47457488045157,1.612915906297603,-48.287726442089316,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
57,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-MC-SE,-39.474822618638456,1.6128247109493183,-48.28776290001605,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
58,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-MC-SE,-39.47458943849497,1.6129091101545132,-48.28772694406547,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
59,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-MC-SE,-39.561194516051714,1.5993441282741223,-48.3143854677765,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
60,/home/ricardi/NEG_GS,Uracil_5H2O,FT-SE,-39.474573876440836,1.612916495017856,-48.28772663033424,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
61,/home/ricardi/NEG_GS,XVI_2HCOOH,FT12-MC-ME,-32.26663805274874,1.045097806828416,-41.84236181938252,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
62,/home/ricardi/NEG_GS,XVI_2HCOOH,FT4-MC-ME,-32.27398642669859,1.0453963810073668,-41.83979558318185,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
