,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP,E_MPk,BSSE
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-nopp,-10.614851039069254,0.08725205672650936,-11.902622547466374,-11.902622610216676,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-10.702103095795763,5.63217438612811
1,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_Mulliken,-10.60388730664206,0.08426875462904296,-11.877339133828745,-11.877339196579051,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-10.688156061271103,5.63217438612811
2,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_ChelPG,-13.408054515454467,0.08379267119731293,-15.380729860776484,-15.38072992352679,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-13.49184718665178,5.63217438612811
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-13.075847461914055,0.10494655938385207,-16.048644179420062,-16.048644179420062,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-13.180794021297906,5.63217438612811
4,/home/ricardi/NEG_GS,7HQ_formate,MC-nopp,-22.905603832851835,0.02110857950983716,-23.13621231485724,-23.13621231485724,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-22.92671241236167,3.521925157546427
5,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_Mulliken,-27.186063841079694,0.016054837777531618,-28.845118897279104,-28.845118897279104,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-27.202118678857225,3.521925157546427
6,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_ChelPG,-28.662777067516288,0.015122378084435725,-31.582763822795663,-31.582763822795663,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-28.677899445600723,3.521925157546427
7,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-27.964352360735248,0.0636931723309296,-33.60650021676838,-33.60650021676838,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-28.028045533066177,3.521925157546427
8,/home/ricardi/NEG_GS,Uracil_5H2O,MC-nopp,-31.416571975057703,0.21231043585179454,-36.53476367388309,-36.53476367388309,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-31.628882410909497,7.8394149963403095
9,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_Mulliken,-35.02023033958231,0.20110102509657996,-41.04987058515975,-41.04987058515975,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-35.22133136467889,7.8394149963403095
10,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_ChelPG,-37.80561682295632,0.20451790072375012,-45.104621780430726,-45.10462171768042,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-38.01013472368007,7.8394149963403095
11,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-36.96661732520118,0.21505610588107024,-46.42403619423657,-46.42403619423657,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-37.181673431082245,7.8394149963403095
12,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-nopp,-25.63457095661177,0.16082666158175288,-30.60639230966196,-30.606392372412262,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-25.795397618193523,7.317918274393186
13,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_Mulliken,-31.30701026497445,0.14121123582181666,-37.62493749955981,-37.62493749955979,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-31.44822150079627,7.317918274393186
14,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_ChelPG,-32.14493070862335,0.14619157039198796,-39.86798355665852,-39.86798355665852,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-32.29112227901534,7.317918274393186
15,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-32.266637613629165,0.1515089347136204,-41.842361756764774,-41.842361756764774,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-32.41814654834278,7.317918274393186
